Date,Series,Open,High,Low,Prev Close,Last,Close,VWAP,52W H,52W L,Volume,Turnover,Trades
2023-02-24,EQ,55.5,56.75,54.0,54.95,54.3,54.45,55.5,88.7,40.6,"7,34,40,699","4,07,60,21,842.25","1,24,035"
2023-02-27,EQ,54.7,54.75,53.2,54.45,54.0,53.6,53.83,88.7,40.6,"3,87,35,556","2,08,51,76,652.30","76,906"
2023-02-28,EQ,53.7,54.4,53.0,53.6,53.35,53.5,53.61,88.7,40.6,"4,54,14,869","2,43,45,25,918.40","65,167"
2023-03-01,EQ,53.5,55.35,53.35,53.5,54.65,54.95,54.72,88.7,40.6,"4,28,54,827","2,34,49,52,180.40","91,303"
2023-03-02,EQ,54.75,55.2,54.35,54.95,54.5,54.55,54.77,88.7,40.6,"3,62,56,148","1,98,57,79,790.00","66,696"
2023-03-03,EQ,54.9,55.4,53.2,54.55,53.8,53.65,54.05,88.7,40.6,"3,69,43,821","1,99,69,97,417.40","66,273"
2023-03-06,EQ,54.0,54.95,53.7,53.65,53.8,53.95,54.38,88.7,40.6,"3,34,92,583","1,82,12,03,987.00","69,571"
2023-03-08,EQ,53.45,55.3,52.65,53.95,55.1,54.8,53.71,88.7,40.6,"4,41,59,725","2,37,17,83,218.20","84,095"
2023-03-09,EQ,55.1,56.35,53.9,54.8,54.1,54.05,55.12,88.7,40.6,"5,60,21,946","3,08,79,83,878.75","82,116"
2023-03-10,EQ,53.8,54.5,53.3,54.05,53.9,53.85,53.99,88.7,40.6,"3,92,26,931","2,11,78,43,410.30","57,899"
2023-03-13,EQ,53.95,54.7,51.6,53.85,51.75,51.9,52.62,88.7,40.6,"5,23,74,659","2,75,58,84,428.40","99,638"
2023-03-14,EQ,52.0,52.5,50.2,51.9,50.85,50.75,51.12,88.7,40.6,"5,22,47,904","2,67,09,17,375.05","1,25,855"
2023-03-15,EQ,51.5,52.2,50.55,50.75,50.9,50.75,51.06,88.7,40.6,"3,87,63,143","1,97,94,00,474.95","85,114"
2023-03-16,EQ,50.9,53.7,49.85,50.75,53.4,53.05,51.74,88.7,40.6,"6,12,37,058","3,16,84,52,954.70","98,458"
2023-03-17,EQ,53.45,55.75,53.05,53.05,55.3,54.9,54.43,88.7,40.6,"11,29,18,857","6,14,58,77,226.50","1,19,813"
2023-03-20,EQ,53.6,54.75,52.2,54.9,53.45,53.55,53.59,88.7,40.6,"6,55,78,919","3,51,40,64,600.50","79,349"
2023-03-21,EQ,53.85,54.15,52.65,53.55,52.85,53.0,53.54,88.7,40.6,"3,16,32,951","1,69,36,02,465.35","51,384"
2023-03-22,EQ,53.4,53.9,52.7,53.0,53.1,53.1,53.27,88.7,40.6,"3,84,44,991","2,04,79,39,079.05","59,570"
2023-03-23,EQ,52.9,53.2,52.1,53.1,53.05,52.65,52.73,88.7,40.6,"3,28,16,290","1,73,04,95,514.10","49,331"
2023-03-24,EQ,52.5,52.85,50.15,52.65,50.45,50.65,51.09,88.7,40.6,"6,72,43,087","3,43,52,83,550.60","1,09,112"
2023-03-27,EQ,50.7,51.3,49.25,50.65,50.05,50.1,50.41,88.7,40.6,"4,96,18,132","2,50,10,32,621.45","96,327"
2023-03-28,EQ,50.2,50.55,49.0,50.1,50.4,50.25,49.8,88.7,40.6,"5,04,26,174","2,51,13,05,115.55","75,994"
2023-03-29,EQ,50.25,51.75,49.6,50.25,50.95,51.25,50.73,88.7,40.6,"4,14,64,387","2,10,34,60,084.00","68,147"
2023-03-31,EQ,51.25,51.7,50.65,51.25,51.05,51.0,51.08,88.7,40.6,"5,65,66,133","2,88,93,37,308.45","83,372"
2023-04-03,EQ,51.5,52.15,50.9,51.0,51.9,51.95,51.61,88.3,40.6,"2,92,41,512","1,50,90,74,264.70","44,942"
2023-04-05,EQ,52.1,52.9,51.55,51.95,51.8,51.7,52.04,88.3,40.6,"2,54,97,115","1,32,67,80,648.95","42,374"
2023-04-06,EQ,51.75,52.45,51.3,51.7,52.1,52.15,51.98,88.3,40.6,"1,96,95,678","1,02,38,51,467.90","43,200"
2023-04-10,EQ,52.15,54.2,51.8,52.15,53.9,53.95,53.4,88.3,40.6,"6,06,55,412","3,23,91,50,304.75","92,843"
2023-04-11,EQ,54.65,55.25,53.25,53.95,53.8,53.95,54.25,88.3,40.6,"4,11,01,417","2,22,98,08,977.35","71,681"
2023-04-12,EQ,54.25,54.25,52.9,53.95,53.4,53.2,53.35,88.3,40.6,"3,08,48,068","1,64,56,18,368.55","53,342"
2023-04-13,EQ,53.2,54.15,52.85,53.2,54.0,53.85,53.62,88.3,40.6,"2,66,46,279","1,42,87,27,475.05","52,152"
2023-04-17,EQ,54.2,54.25,53.0,53.85,53.9,53.95,53.65,84.4,40.6,"2,47,87,918","1,32,98,09,007.55","49,905"
2023-04-18,EQ,54.05,54.2,53.05,53.95,53.2,53.3,53.39,84.4,40.6,"2,76,17,603","1,47,45,56,529.40","55,272"
2023-04-19,EQ,53.6,55.95,53.2,53.3,53.9,54.15,54.68,84.4,40.6,"6,20,22,927","3,39,13,32,902.50","88,455"
2023-04-20,EQ,54.15,54.4,53.65,54.15,54.35,54.2,54.08,84.4,40.6,"2,30,96,046","1,24,90,45,779.60","39,299"
2023-04-21,EQ,54.3,56.75,54.1,54.2,55.6,56.05,55.79,84.4,40.6,"10,67,07,937","5,95,27,60,270.75","1,27,296"
2023-04-24,EQ,55.5,56.4,54.7,56.05,56.2,56.0,55.61,81.6,40.6,"4,32,87,483","2,40,70,71,196.20","78,079"
2023-04-25,EQ,56.4,60.6,56.2,56.0,58.0,57.75,58.84,81.6,40.6,"19,90,56,106","11,71,33,12,612.75","2,32,529"
2023-04-26,EQ,58.1,59.0,57.1,57.75,58.2,58.2,58.17,81.6,40.6,"5,97,65,915","3,47,67,10,140.65","1,06,004"
2023-04-27,EQ,58.6,61.15,58.35,58.2,60.45,60.7,59.87,81.6,40.6,"8,29,69,101","4,96,72,23,344.40","1,21,269"
